kd_nM,prior_density,posterior_density
0.018058,0.000228422,0
0.0181237,0.000229565,0
0.0181895,0.000230712,0
0.0182556,0.000231865,0
0.018322,0.000233024,0
0.0183886,0.000234187,0
0.0184554,0.000235356,0
0.0185225,0.000236531,0
0.0185898,0.000237711,0
0.0186574,0.000238896,0
0.0187252,0.000240086,0
0.0187933,0.000241282,0
0.0188616,0.000242484,0
0.0189301,0.000243691,0
0.0189989,0.000244904,0
0.019068,0.000246122,0
0.0191373,0.000247346,0
0.0192068,0.000248575,0
0.0192767,0.00024981,0
0.0193467,0.000251051,0
0.019417,0.000252297,0
0.0194876,0.000253549,0
0.0195584,0.000254807,0
0.0196295,0.00025607,0
0.0197009,0.000257339,0
0.0197725,0.000258614,0
0.0198444,0.000259895,0
0.0199165,0.000261182,0
0.0199889,0.000262474,0
0.0200615,0.000263772,0
0.0201344,0.000265077,0
0.0202076,0.000266387,0
0.0202811,0.000267703,0
0.0203548,0.000269025,0
0.0204288,0.000270353,0
0.020503,0.000271687,0
0.0205775,0.000273027,0
0.0206523,0.000274374,0
0.0207274,0.000275726,0
0.0208027,0.000277085,0
0.0208783,0.000278449,0
0.0209542,0.00027982,0
0.0210304,0.000281197,0
0.0211068,0.00028258,0
0.0211835,0.00028397,0
0.0212605,0.000285366,0
0.0213378,0.000286768,0
0.0214154,0.000288176,0
0.0214932,0.000289591,0
0.0215713,0.000291012,0
0.0216497,0.00029244,0
0.0217284,0.000293874,0
0.0218074,0.000295314,0
0.0218867,0.000296761,0
0.0219662,0.000298214,0
0.0220461,0.000299674,0
0.0221262,0.000301141,0
0.0222066,0.000302614,0
0.0222873,0.000304093,0
0.0223683,0.00030558,0
0.0224496,0.000307073,0
0.0225312,0.000308573,0
0.0226131,0.000310079,0
0.0226953,0.000311592,0
0.0227778,0.000313112,0
0.0228606,0.000314639,0
0.0229437,0.000316172,0
0.0230271,0.000317713,0
0.0231108,0.00031926,0
0.0231948,0.000320814,0
0.0232791,0.000322375,0
0.0233637,0.000323944,0
0.0234486,0.000325519,0
0.0235338,0.000327101,0
0.0236194,0.00032869,0
0.0237052,0.000330286,0
0.0237914,0.00033189,0
0.0238778,0.0003335,0
0.0239646,0.000335118,0
0.0240517,0.000336743,0
0.0241392,0.000338375,0
0.0242269,0.000340014,0
0.024315,0.000341661,0
0.0244033,0.000343315,0
0.024492,0.000344976,0
0.024581,0.000346644,0
0.0246704,0.00034832,0
0.0247601,0.000350004,0
0.0248501,0.000351695,0
0.0249404,0.000353393,0
0.025031,0.000355099,0
0.025122,0.000356812,0
0.0252133,0.000358533,0
0.025305,0.000360262,0
0.0253969,0.000361998,0
0.0254892,0.000363742,0
0.0255819,0.000365493,0
0.0256749,0.000367253,0
0.0257682,0.00036902,0
0.0258618,0.000370794,0
0.0259558,0.000372577,0
0.0260502,0.000374367,0
0.0261449,0.000376166,0
0.0262399,0.000377972,0
0.0263353,0.000379786,0
0.026431,0.000381608,0
0.0265271,0.000383438,0
0.0266235,0.000385276,0
0.0267202,0.000387123,0
0.0268174,0.000388977,0
0.0269148,0.000390839,0
0.0270127,0.00039271,0
0.0271108,0.000394589,0
0.0272094,0.000396475,0
0.0273083,0.000398371,0
0.0274075,0.000400274,0
0.0275071,0.000402186,0
0.0276071,0.000404106,0
0.0277075,0.000406035,0
0.0278082,0.000407972,0
0.0279093,0.000409917,0
0.0280107,0.000411871,0
0.0281125,0.000413833,0
0.0282147,0.000415804,0
0.0283172,0.000417783,0
0.0284202,0.000419772,0
0.0285235,0.000421768,0
0.0286271,0.000423774,0
0.0287312,0.000425788,0
0.0288356,0.000427811,0
0.0289404,0.000429842,0
0.0290456,0.000431883,0
0.0291512,0.000433932,0
0.0292571,0.00043599,0
0.0293635,0.000438057,0
0.0294702,0.000440133,0
0.0295773,0.000442218,0
0.0296848,0.000444312,0
0.0297927,0.000446415,0
0.029901,0.000448527,0
0.0300097,0.000450648,0
0.0301187,0.000452779,0
0.0302282,0.000454918,0
0.0303381,0.000457067,0
0.0304484,0.000459225,0
0.030559,0.000461392,0
0.0306701,0.000463569,0
0.0307816,0.000465755,0
0.0308935,0.000467951,0
0.0310057,0.000470155,0
0.0311184,0.00047237,0
0.0312315,0.000474594,0
0.0313451,0.000476827,0
0.031459,0.00047907,0
0.0315733,0.000481322,0
0.0316881,0.000483585,0
0.0318033,0.000485857,0
0.0319189,0.000488138,0
0.0320349,0.00049043,0
0.0321513,0.000492731,0
0.0322682,0.000495042,0
0.0323854,0.000497363,0
0.0325032,0.000499694,0
0.0326213,0.000502034,0
0.0327399,0.000504385,0
0.0328589,0.000506746,0
0.0329783,0.000509117,0
0.0330982,0.000511498,0
0.0332185,0.000513889,0
0.0333392,0.00051629,0
0.0334604,0.000518701,0
0.033582,0.000521123,0
0.033704,0.000523555,0
0.0338266,0.000525998,0
0.0339495,0.00052845,0
0.0340729,0.000530913,0
0.0341967,0.000533387,0
0.034321,0.000535871,0
0.0344458,0.000538366,0
0.034571,0.000540871,0
0.0346966,0.000543386,0
0.0348227,0.000545913,0
0.0349493,0.00054845,0
0.0350763,0.000550998,0
0.0352038,0.000553556,0
0.0353318,0.000556125,0
0.0354602,0.000558706,0
0.0355891,0.000561297,0
0.0357184,0.000563899,0
0.0358483,0.000566512,0
0.0359786,0.000569135,0
0.0361093,0.00057177,0
0.0362406,0.000574417,0
0.0363723,0.000577074,0
0.0365045,0.000579742,0
0.0366372,0.000582422,0
0.0367703,0.000585113,0
0.036904,0.000587815,0
0.0370381,0.000590528,0
0.0371727,0.000593253,0
0.0373079,0.000595989,0
0.0374435,0.000598737,0
0.0375796,0.000601496,0
0.0377161,0.000604267,0
0.0378532,0.000607049,0
0.0379908,0.000609843,0
0.0381289,0.000612649,0
0.0382675,0.000615466,0
0.0384066,0.000618295,0
0.0385462,0.000621136,0
0.0386863,0.000623989,0
0.0388269,0.000626853,0
