variant,param,multiplier,kd_nM,n_eff@1h,R2@1h,fold@1h,ratio_spread@1h,n_eff@3h,R2@3h,fold@3h,ratio_spread@3h,n_eff@6h,R2@6h,fold@6h,ratio_spread@6h,t_peak_lo,t_peak_hi,adapt_lo,adapt_hi
ox,Kd_TIP_TetR,2000.0,500.0,1.823226904012323,0.9367294760342857,1.031793924585775,0.009374281366315192,1.848074158954864,0.9611588104802435,1.035240006843408,0.0005364858844436683,1.8400330164856953,0.9634941292790875,1.0320398217418203,0.0005922619619971683,4.321080270067517,40.420105026256564,0.2808346786306842,0.44011883735325424
ox,Kd_TIP_TetR,4000.0,1000.0,1.8244431550037352,0.9366164762138487,1.0159274090245807,0.004770306284420847,1.8485916165926863,0.961300989312414,1.0177388448454012,0.00026578011161724644,1.840346796878851,0.9636418383393478,1.0161274936541014,0.00030336269862549014,4.321080270067517,40.420105026256564,0.28083467863794004,0.44011883707458194
ox,Kd_TIP_TetR,10000.0,2500.0,1.8252289616593094,0.9365325493069112,1.0063776517497462,0.0019282874440035155,1.8489119911804117,0.9613860142737349,1.007124314055623,0.00010941937930644616,1.8405336666056262,0.963731699705002,1.00647712352107,0.0001231398076765581,4.321080270067517,40.420105026256564,0.2808346786478468,0.4401188370666218
ox,Kd_TIP_TetR,20000.0,5000.0,1.8255044306972201,0.936501659266295,1.0031898853661134,0.0009675196742040125,1.8490204688273366,0.9614142697206717,1.0035669735276396,5.543979058346353e-05,1.840594971343748,0.9637618547812408,1.0032429418193078,6.187403143095496e-05,4.321080270067517,40.420105026256564,0.28083467863212136,0.4401188370824541
er,Kd_TIP_TetR,0.01,0.0025,3.8597566636818805,0.9551504723620957,3.5443302818638824,0.46948583114965375,2.630980417532379,0.9611682281805012,3.4550698878732202,0.076110111729468,2.878231154829787,0.9754037907960944,3.0905125732538905,0.02817299859024522,20.795198799699925,103.615903975994,0.24076927470147452,0.33609529667783083
er,Kd_TIP_TetR,0.1,0.025,3.861685174486436,0.9550104917872997,3.506819622105008,0.4654725152176078,2.6234526436177394,0.9610145840037113,3.3974522132225755,0.07718107246289758,2.8757627584571486,0.9752728961261571,3.028038232041631,0.02868986086878005,20.795198799699925,103.615903975994,0.24076927470156076,0.3360952967121091
er,Kd_TIP_TetR,1.0,0.25,3.8788826767845,0.9539240964996344,3.1837795275201057,0.42952294034108957,2.572424669025286,0.9601901541390692,2.9770509103417977,0.08151048987266714,2.8673610742754083,0.9748138350831769,2.608824082704033,0.031139865018274877,20.795198799699925,103.615903975994,0.24076927474064638,0.33609529679241434
er,Kd_TIP_TetR,4.0,1.0,3.9139965530725407,0.9527867544355364,2.526575345945041,0.3470850884897192,2.5196137997960935,0.9601162219472402,2.339902346535715,0.07360299124626235,2.879118557066815,0.9753449056470982,2.040952767531514,0.0317520632603214,20.795198799699925,103.615903975994,0.24076927475041918,0.3360952968716268
er,Kd_TIP_TetR,6.0,1.5,3.9246501145717043,0.9529606998064248,2.2720152063491237,0.31044640841621374,2.5121186470391272,0.9604726599417022,2.1246235284616355,0.06659641214298431,2.8871090977768383,0.9757663297584862,1.8589982916823726,0.03126722552709117,20.795198799699925,103.615903975994,0.24076927475463,0.336095296834254
er,Kd_TIP_TetR,8.0,2.0,3.929263810769151,0.9533780933935756,2.0904348739167475,0.28190058914482086,2.5108013275015146,0.9608616732961064,1.9741940891450978,0.060551643229657164,2.8933485614889416,0.9761245163743449,1.7345905550192888,0.030477889398395748,20.795198799699925,103.615903975994,0.2407692747607802,0.336095296813387
er,Kd_TIP_TetR,10.0,2.5,3.9300074999461394,0.953877118821445,1.9542400606660348,0.25876092479186985,2.5120988517846645,0.9612398991739397,1.8616201844572005,0.05556049968729197,2.89825990287842,0.9764273658025858,1.643106351428229,0.02951425658123905,20.795198799699925,103.615903975994,0.24076927476043264,0.3360952967784576
er,Kd_TIP_TetR,12.0,3.0,3.9282846398648514,0.9543860409339441,1.8482197615303877,0.23946667221658807,2.5145311712141236,0.9615945901914738,1.7735774557999713,0.05126723807165515,2.902200057328706,0.9766858159567422,1.572601181690825,0.028484027396013974,20.795198799699925,103.615903975994,0.24076927475946283,0.33609529678605143
